,ID,NO_OF_CHILD,WORK_PHONE,PHONE,E_MAIL,FAMILY SIZE,BEGIN_MONTH,AGE,YEARS_EMPLOYED,TARGET,INCOME,TOTAL_CONTACTS,HAS_CAR,HAS_PROPERTY,INCOME_PER_PERSON,CHILD_RATIO
ID,1.0,0.029638421134788363,0.08746274813414365,0.01331090724180641,,0.021691230594226733,-0.0006329534007126012,-0.0367146103837988,-0.02267029566212809,0.02068707451589767,-0.02882005711597912,0.033813697027505016,-0.025261230145807927,-0.08628730257684267,-0.033714046453753914,0.032019087829576
NO_OF_CHILD,0.029638421134788363,1.0,-0.009485619631246356,-0.017661341479888255,,0.8910067418506057,0.002884839800375205,-0.27184850251567244,-0.05221123065832845,-0.0014480405119713304,-0.02827501792460653,-0.01980951701455233,0.06839835554185514,0.018937986094521707,-0.4633237128937147,0.964760108321211
WORK_PHONE,0.08746274813414365,-0.009485619631246356,1.0,0.36961501458538903,,0.010093705165612065,0.011387391635666029,-0.03865880933497641,0.012218650414305572,0.005868894610230613,-0.10629269954144883,0.7503528033587052,-0.023226376351799045,-0.2095019878207952,-0.0823891791984767,-0.022186055736164785
PHONE,0.01331090724180641,-0.017661341479888255,0.36961501458538903,1.0,,-0.005034339932311019,0.01765022453107751,0.025983587891464672,0.04232129723067864,0.003023081857714143,0.003495160901106396,0.787787510728065,-0.024812124987255046,-0.06393634789048852,0.0003858326801855536,-0.02026078833952084
E_MAIL,,,,,,,,,,,,,,,,
FAMILY SIZE,0.021691230594226733,0.8910067418506057,0.010093705165612065,-0.005034339932311019,,1.0,0.022808761904823,-0.21884701645812624,-0.030880755646614404,-0.006405165218291262,-0.03889853750816975,0.0005080055206901758,0.11497973593389121,0.017528136292613482,-0.6319412053931243,0.8217378460912332
BEGIN_MONTH,-0.0006329534007126012,0.002884839800375205,0.011387391635666029,0.01765022453107751,,0.022808761904823,1.0,0.08883284795970524,0.09705975695284752,0.06071286909550345,0.029457800612651578,0.014287167157005003,0.02615423659287881,-0.009617364919403692,-0.005867112468100781,-0.0006981900205509789
AGE,-0.0367146103837988,-0.27184850251567244,-0.03865880933497641,0.025983587891464672,,-0.21884701645812624,0.08883284795970524,1.0,0.3269820533823047,-0.007957699180597933,0.05675039503428848,-0.029339525400557127,-0.07196428809362027,0.0913203274962935,0.13491936583589262,-0.27816113499513134
YEARS_EMPLOYED,-0.02267029566212809,-0.05221123065832845,0.012218650414305572,0.04232129723067864,,-0.030880755646614404,0.09705975695284752,0.3269820533823047,1.0,-0.03308731064215923,0.03231357869320839,0.015876785074966315,-0.05702006291469316,0.0069740496399193904,0.025128803304200614,-0.052211132648249996
TARGET,0.02068707451589767,-0.0014480405119713304,0.005868894610230613,0.003023081857714143,,-0.006405165218291262,0.06071286909550345,-0.007957699180597933,-0.03308731064215923,1.0,0.007241573206037073,0.0061167814956151235,0.00027388534890474204,-0.021743460023021632,0.010591963420150983,0.0008211286980753502
INCOME,-0.02882005711597912,-0.02827501792460653,-0.10629269954144883,0.003495160901106396,,-0.03889853750816975,0.029457800612651578,0.05675039503428848,0.03231357869320839,0.007241573206037073,1.0,-0.03202643852747504,0.21499266257590754,0.03526700197019612,0.7034975000421307,-0.023474754142140147
TOTAL_CONTACTS,0.033813697027505016,-0.01980951701455233,0.7503528033587052,0.787787510728065,,0.0005080055206901758,0.014287167157005003,-0.029339525400557127,0.015876785074966315,0.0061167814956151235,-0.03202643852747504,1.0,-0.02697298563880584,-0.13149289153837196,-0.026392899812544446,-0.02734215636962992
HAS_CAR,-0.025261230145807927,0.06839835554185514,-0.023226376351799045,-0.024812124987255046,,0.11497973593389121,0.02615423659287881,-0.07196428809362027,-0.05702006291469316,0.00027388534890474204,0.21499266257590754,-0.02697298563880584,1.0,0.005388498423040166,0.056672318055461766,0.05577367796852351
HAS_PROPERTY,-0.08628730257684267,0.018937986094521707,-0.2095019878207952,-0.06393634789048852,,0.017528136292613482,-0.009617364919403692,0.0913203274962935,0.0069740496399193904,-0.021743460023021632,0.03526700197019612,-0.13149289153837196,0.005388498423040166,1.0,0.020269372789492916,0.01985092093280716
INCOME_PER_PERSON,-0.033714046453753914,-0.4633237128937147,-0.0823891791984767,0.0003858326801855536,,-0.6319412053931243,-0.005867112468100781,0.13491936583589262,0.025128803304200614,0.010591963420150983,0.7034975000421307,-0.026392899812544446,0.056672318055461766,0.020269372789492916,1.0,-0.4476737235810124
CHILD_RATIO,0.032019087829576,0.964760108321211,-0.022186055736164785,-0.02026078833952084,,0.8217378460912332,-0.0006981900205509789,-0.27816113499513134,-0.052211132648249996,0.0008211286980753502,-0.023474754142140147,-0.02734215636962992,0.05577367796852351,0.01985092093280716,-0.4476737235810124,1.0
