Feature,Coefficient
BEGIN_MONTH,1.6257032312900852
INCOME_TYPE_Pensioner,1.4400291549757445
YEARS_EMPLOYED,-1.074220069740626
HOUSE_TYPE_House / apartment,0.9190285186552797
FAMILY_TYPE_Single / not married,0.82858881754119
FAMILY_TYPE_Widow,0.6948622285011589
HOUSE_TYPE_With parents,0.5364717405809678
FAMILY_TYPE_Married,0.4952395220831591
INCOME_PER_PERSON,-0.47433965570363273
EDUCATION_TYPE_Lower secondary,0.46234349400348546
GENDER_M,0.45770919158405526
HOUSE_TYPE_Municipal apartment,0.45126841811998564
EDUCATION_TYPE_Higher education,0.3833364478134904
EDUCATION_TYPE_Incomplete higher,0.36692670485578405
HAS_PROPERTY,-0.29400642009451794
FAMILY_TYPE_Separated,0.2705097814784375
HAS_CAR,-0.2698334884040766
CHILD_RATIO,-0.23621480141923193
NO_OF_CHILD,-0.23055007826556692
INCOME_TYPE_Working,0.22937191619944564
HOUSE_TYPE_Office apartment,0.22004538749744504
HOUSE_TYPE_Rented apartment,0.17225027194150527
TOTAL_CONTACTS,-0.15362231163654758
EDUCATION_TYPE_Secondary / secondary special,0.1159000548945796
INCOME,0.07852699866252708
FAMILY SIZE,0.0731632651992851
WORK_PHONE,-0.0722977291365406
INCOME_TYPE_State servant,-0.03702244613361634
INCOME_TYPE_Student,-0.02260985433122911
AGE,0.004799612379872152
PHONE,0.0035644994592649746
